"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Sep 22 00:28:30 EDT 2020","Tue Sep 22 00:28:30 EDT 2020","0","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","signInPageTest","signInPageTest",""
"broken","Wed Sep 23 23:46:51 EDT 2020","Wed Sep 23 23:47:06 EDT 2020","15297","Suite","Regression","org.example.PartnerDashboardTest","org.example.PartnerDashboardTest","partnerDashboardTest","partnerDashboardTest",""
"broken","Sun Sep 20 22:29:16 EDT 2020","Sun Sep 20 22:29:16 EDT 2020","1","Default Suite","OddoWebsiteAutomation copy","org.example.MyDataBaseTest","org.example.MyDataBaseTest","setUp","setUp",""
"broken","Sat Sep 19 16:30:22 EDT 2020","Sat Sep 19 16:30:22 EDT 2020","1","Suite","Regression","org.example.ScheduleDemoTest","org.example.ScheduleDemoTest","setUp","setUp",""
"unknown","Tue Sep 22 00:28:30 EDT 2020","Tue Sep 22 00:28:30 EDT 2020","0","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","partnerDashboardTest","partnerDashboardTest",""
"broken","Tue Sep 22 00:08:26 EDT 2020","Tue Sep 22 00:09:25 EDT 2020","59302","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","shoppingCartTest","shoppingCartTest",""
"passed","Wed Sep 23 12:44:27 EDT 2020","Wed Sep 23 12:44:27 EDT 2020","54","Default Suite","OddoWebsiteAutomation copy","org.example.AppsDropDownPageTest","org.example.AppsDropDownPageTest","openAppsDropdown","openAppsDropdown",""
"broken","Sat Sep 19 08:23:50 EDT 2020","Sat Sep 19 08:23:58 EDT 2020","8631","Suite","Regression","org.example.SignUpPageTest","org.example.SignUpPageTest","footerLinkTest","footerLinkTest",""
"unknown","Tue Sep 22 00:28:30 EDT 2020","Tue Sep 22 00:28:30 EDT 2020","0","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","writeForCommunityTest","writeForCommunityTest",""
"passed","Sun Sep 20 22:41:20 EDT 2020","Sun Sep 20 22:41:24 EDT 2020","3879","Default Suite","OddoWebsiteAutomation copy","org.example.MyDataBaseTest","org.example.MyDataBaseTest","checkMyDatabase","checkMyDatabase",""
"unknown","Tue Sep 22 00:28:30 EDT 2020","Tue Sep 22 00:28:30 EDT 2020","0","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","createNewPipelineTest","createNewPipelineTest",""
